/home/pi/Music/Hireso/GODIEGO/0008028074.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ポートピア (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028075.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ナマステ (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028076.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 愛の3(スリー)イヤーズ (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028077.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 アフター・ザ・レイン (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028079.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 (カミング・トゥゲザー・イン)カトマンズ (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028080.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ア・グッド・デイ (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028083.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 モンキー・マジック (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028069.flac	 GODIEGO/タケカワユキヒデ	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ハピネス (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028078.flac	 GODIEGO/タケカワユキヒデ	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ドキ・ドキ・サマーガール (24bit/96kHz)	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/01 - Airplane '96.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Airplane '96	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/02 - Domino.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Domino	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/03 - Snowflakes.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Snowflakes	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/04 - Chicken Curry.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Chicken Curry	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/05 - Mini Cooper.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Mini Cooper	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/06 - Holger & Marcus.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Holger & Marcus	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/07 - Cornflakes.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Cornflakes	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/08 - To Our Children's Children's Children.mp3	 Pizzicato Five	 Sister Freedom Tapes	 To Our Children's Children's Children	70
/home/pi/Music/mp3/Pizzicato Five - Sister Freedom Tapes/09 - Passing By.mp3	 Pizzicato Five	 Sister Freedom Tapes	 Passing By	70
/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/01 - ベイビィ・ポータブル・ロック (BABY MEXICAN ROCK VERSION).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 ベイビィ・ポータブル・ロック (BABY MEXICAN ROCK VERSION)	70
/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/02 - アイスクリーム・メルティン・メロウ (MARIN MIX 2).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 アイスクリーム・メルティン・メロウ (MARIN MIX 2)	70
/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/03 - コンタクト (PERCOLATOR MIX).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 コンタクト (PERCOLATOR MIX)	70
/home/pi/Music/mp3/Pizzicato Five - combinaison SPACIALE ep/04 - good (SAMOAN ATTORNEY MIX).mp3	 Pizzicato Five	 combinaison SPACIALE ep	 good (SAMOAN ATTORNEY MIX)	70
